mode,scenario,wind_scenario,pv_scenario,storage_capacity_mwh,storage_power_mw,日产氨量,设备利用率,常规负荷需求电量,常规负荷缺供电量,常规负荷供电保障率,制氨工艺用电量,离网服务负荷电量,离网需求电量,风电发电量,光伏发电量,新能源可发电量,新能源实际利用电量,弃风弃光电量,弃风弃光率,风光利用率,储能充电量,储能放电量,储能等效吞吐量,储能损耗及自损耗估计,新能源上网电量比例,新能源自发自用比例（离网实际消纳口径）,总用电量绿电比例（离网需求保障口径）,风电成本,光伏成本,碱性电解槽运维成本,PEM电解槽运维成本,合成氨装置运维成本,储能年化投资成本,储能充放电运维成本,日总成本,吨氨成本,能源自治是否满足常规负荷,ammonia_gain_t,curtailment_reduction_mwh
offgrid_storage,W4_PV1,4,1,165.0,165.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,30555.555555555555,3121.0855410163163,244072.89584766736,4323.651338392202,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,170.0,170.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,31481.48148148148,3121.0855410163163,244998.82177359328,4340.053736761664,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,175.0,175.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,32407.40740740741,3121.0855410163163,245924.7476995192,4356.456135131126,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,180.0,180.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,33333.333333333336,3121.0855410163163,246850.67362544514,4372.858533500588,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,185.0,185.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,34259.25925925926,3121.0855410163163,247776.59955137107,4389.260931870051,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,190.0,190.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,35185.18518518518,3121.0855410163163,248702.52547729696,4405.663330239512,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,195.0,195.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,36111.11111111111,3121.0855410163163,249628.45140322292,4422.0657286089745,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,200.0,200.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,37037.03703703704,3121.0855410163163,250554.37732914882,4438.468126978436,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,205.0,205.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,37962.96296296296,3121.0855410163163,251480.30325507477,4454.870525347898,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,210.0,210.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,38888.88888888889,3121.0855410163163,252406.22918100067,4471.272923717361,1,10.264218368792648,177.2918
